id,question1_en,question2_en,question2_fr,is_duplicate
0,What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?,Quel est le guide étape par étape pour investir dans le marché des actions?,0
1,What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,Que se passerait-il si le gouvernement indien récupérait le diamant Kohinoor (Koh-i-Noor)?,0
2,How can I increase the speed of my internet connection while using a VPN?,How can Internet speed be increased by hacking through DNS?,Comment augmenter la vitesse d'Internet en piratant le DNS?,0
3,Why am I mentally very lonely? How can I solve it?,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?","Trouvez le reste lorsque [math] 23 ^ {24} [/ math] est divisé par 24,23?",0
4,"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",Which fish would survive in salt water?,Quel poisson survivrait dans l'eau salée?,0
5,Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?","Je suis un triple Capricorne (Soleil, Lune et ascendant en Capricorne) Qu'est-ce que cela dit de moi?",1
6,Should I buy tiago?,What keeps childern active and far from phone and video games?,Qu'est-ce qui garde les enfants actifs et loin des téléphones et des jeux vidéo?,0
7,How can I be a good geologist?,What should I do to be a great geologist?,Que dois-je faire pour être un grand géologue?,1
8,When do you use シ instead of し?,"When do you use ""&"" instead of ""and""?","Quand utilisez-vous ""&"" au lieu de ""et""?",0
9,Motorola (company): Can I hack my Charter Motorolla DCX3400?,How do I hack Motorola DCX3400 for free internet?,Comment puis-je pirater Motorola DCX3400 pour Internet gratuit?,0
10,Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,Quelles sont les choses que les techniciens peuvent dire sur la durabilité et la fiabilité des ordinateurs portables et de leurs composants?,0
11,How do I read and find my YouTube comments?,How can I see all my Youtube comments?,Comment puis-je voir tous mes commentaires sur Youtube?,1
12,What can make Physics easy to learn?,How can you make physics easy to learn?,Comment pouvez-vous rendre la physique facile à apprendre?,1
13,What was your first sexual experience like?,What was your first sexual experience?,Quelle a été votre première expérience sexuelle?,1
14,"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,Quelles sont les lois pour changer votre statut de visa étudiant en carte verte aux États-Unis? Comment se comparent-ils aux lois sur l'immigration au Japon?,0
15,What would a Trump presidency mean for current international master’s students on an F1 visa?,How will a Trump presidency affect the students presently in US or planning to study in US?,Comment une présidence Trump affectera-t-elle les étudiants actuellement aux États-Unis ou prévoit-elle d'étudier aux États-Unis?,1
16,What does manipulation mean?,What does manipulation means?,Que signifie la manipulation?,1
17,Why do girls want to be friends with the guy they reject?,How do guys feel after rejecting a girl?,Comment les gars se sentent-ils après avoir rejeté une fille?,0
18,Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?,Pourquoi les gens posent-ils des questions sur Quora auxquelles Google peut répondre facilement?,1
19,Which is the best digital marketing institution in banglore?,Which is the best digital marketing institute in Pune?,Quel est le meilleur institut de marketing numérique de Pune?,0
20,Why do rockets look white?,Why are rockets and boosters painted white?,Pourquoi les fusées et les boosters sont-ils peints en blanc?,1
21,What's causing someone to be jealous?,What can I do to avoid being jealous of someone?,Que puis-je faire pour éviter d'être jaloux de quelqu'un?,0
22,What are the questions should not ask on Quora?,Which question should I ask on Quora?,Quelle question devrais-je poser sur Quora?,0
23,How much is 30 kV in HP?,Where can I find a conversion chart for CC to horsepower?,Où puis-je trouver un tableau de conversion pour CC en chevaux?,0
24,What does it mean that every time I look at the clock the numbers are the same?,How many times a day do a clock’s hands overlap?,Combien de fois par jour les aiguilles d'une horloge se chevauchent-elles?,0
25,What are some tips on making it through the job interview process at Medicines?,What are some tips on making it through the job interview process at Foundation Medicine?,Quels sont les conseils pour réussir le processus d'entrevue d'emploi à Foundation Medicine?,0
26,What is web application?,What is the web application framework?,Qu'est ce que le framework d'application web?,0
27,Does society place too much importance on sports?,How do sports contribute to the society?,Comment le sport contribue-t-il à la société?,0
28,What is best way to make money online?,What is best way to ask for money online?,Quelle est la meilleure façon de demander de l'argent en ligne?,0
29,How should I prepare for CA final law?,How one should know that he/she completely prepare for CA final exam?,Comment doit-on savoir qu'il / elle se prépare complètement à l'examen final de CA?,1
30,What's one thing you would like to do better?,What's one thing you do despite knowing better?,Qu'est-ce que tu fais malgré le fait de savoir mieux?,0
31,What are some special cares for someone with a nose that gets stuffy during the night?,How can I keep my nose from getting stuffy at night?,Comment puis-je éviter que mon nez devienne étouffant la nuit?,1
32,What Game of Thrones villain would be the most likely to give you mercy?,What Game of Thrones villain would you most like to be at the mercy of?,Quel méchant Game of Thrones aimeriez-vous le plus être à la merci de?,1
33,"Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?",How is the average speed of gas molecules determined?,Comment la vitesse moyenne des molécules de gaz est-elle déterminée?,0
34,What is the best travel website in spain?,What is the best travel website?,Quel est le meilleur site de voyage?,0
